started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-01-08 13:27:12.800000+00:00,2021-01-08 13:40:26.537000+00:00,793,547,Skippergata,ved Karl Johans gate,59.9112227,10.7481976,475,Hausmanns bru,langs Nylandsveien,59.9146509,10.7598719
2021-01-08 13:27:48.414000+00:00,2021-01-08 13:38:38.757000+00:00,650,470,St. Hanshaugen park nord,krysset Colletts gt / Geitmyrsveien,59.92979845370007,10.743540765932096,501,Krebs' gate,ved Vogts gate,59.935995,10.765413
2021-01-08 13:29:03.270000+00:00,2021-01-08 13:38:56.082000+00:00,592,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287,485,Sommerfrydhagen,langs Jens Bjelkes gate,59.911453,10.776072
2021-01-08 13:29:04.910000+00:00,2021-01-08 13:43:22.508000+00:00,857,497,Sirkustomta,langs Finnmarksgata,59.919252,10.774712,738,Lodalen busstopp,langs Dyvekes vei,59.9034528,10.777958
2021-01-08 13:29:18.457000+00:00,2021-01-08 13:38:55.880000+00:00,577,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182
2021-01-08 13:29:18.707000+00:00,2021-01-08 13:36:04.793000+00:00,406,526,Lille Grensen,Ved Akersgata,59.9138973,10.7423101,469,Studentparlamentet,ved Frydenlund holdeplass,59.920852,10.733357
2021-01-08 13:29:44.303000+00:00,2021-01-08 13:34:07.188000+00:00,262,540,Lilleborgbanen,langs Ole Bulls gate,59.93363159074286,10.769118139881124,380,Bentsebrugata,rett over busstoppet,59.93923,10.75917
2021-01-08 13:30:21.171000+00:00,2021-01-08 13:32:47.145000+00:00,145,578,Hallings gate,langs Dalsbergstien,59.922777,10.738655,384,Vår Frelsers gravlund sør,langs Ullevålsveien,59.919463,10.743829
2021-01-08 13:32:12.416000+00:00,2021-01-08 13:39:01.833000+00:00,409,450,Elisenberg,ved holdeplassen,59.919524,10.70884,413,Majorstuen,på Vinkelplassen,59.929045,10.716926
2021-01-08 13:33:12.238000+00:00,2021-01-08 13:38:32.158000+00:00,319,574,Annette Thommessens Plass,langs Schweigaards gate,59.9107393,10.7609998,460,Botanisk Hage sør,langs Jens Bjelkes gate,59.915417698024385,10.76933022142641
2021-01-08 13:33:56.272000+00:00,2021-01-08 13:41:53.446000+00:00,477,449,Ruseløkkgården,langs Løkkeveien,59.91357497092093,10.726229742333288,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2021-01-08 13:34:01.508000+00:00,2021-01-08 13:41:04.650000+00:00,423,523,Tøyenbekken,ved Rubina Ranas gate,59.9115945,10.7617736,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182
